Medium (P1),Meal(P1),Perference(P1)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Sweets
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Veg foods (Breakfast / Lunch / Dinner)
Web browser,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Breakfast,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Breakfast,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Veg foods (Breakfast / Lunch / Dinner)
Walk-in,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Web browser,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Sweets
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Direct call,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Breakfast,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Snacks,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Direct call,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Veg foods (Breakfast / Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Walk-in,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner)
Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner)
Walk-in,Snacks,Non Veg foods (Lunch / Dinner)
